Categoria,Nome do Produto,Arquivo esperado (colocar em sg-bichos/images/produtos/)
petiscos-secos,OSSO DESIDRATADO MEIO FEMUR SUINO,PRD00150.jpg
petiscos-secos,OSSO NÓ 2x3&quot; Cartela - Ricosso,PRD00094.jpg
petiscos-secos,OSSO NÓ 2x3&quot; Cartela CAXIA - Ricosso,PRD00114.jpg
petiscos-secos,OSSO NÓ 3x4&quot; Cartela - Ricosso,PRD00095.jpg
petiscos-secos,OSSO NÓ 3x4&quot; Cartela CAIXA - Ricosso,PRD00115.jpg
petiscos-secos,Osso Nó 2x3&quot; n.2 com 50Un. - Ricosso,PRD00142.jpg
petiscos-secos,PALITO 06X5mm C/12 Un. - BRUPET,PRD00132.jpg
petiscos-secos,PALITO 10X5MM CARNE DEFUMADA PC 1kg - CAIXA c/4 - Brupet,PRD00140.jpg
petiscos-secos,PALITO 10X5MM CARNE DEFUMADA PC C/7 UN - Brupet,PRD00137.jpg
petiscos-secos,PALITO 10X5MM CARNE DEFUMADA PC C/7 UN - CAIXA C20 PCT - Brupet,PRD00138.jpg
petiscos-secos,PALITO 10X5mm CARNE DEFUMADA 1Kg - Brupet,PRD00131.jpg
petiscos-secos,PALITO 605MM PC C/12 UN,PRD00135.jpg
petiscos-secos,PALITO 605MM PC C/12 UN CAIXA C/20 pco,PRD00136.jpg
petiscos-secos,PALITO 805 1KG - Brupet,PRD00126.jpg
petiscos-secos,PALITO FLEX SABOR MISTO PC 1 KG - Brupet,PRD00129.jpg
petiscos-secos,PALITO FLEX SABOR MISTO PC 1 KG CAIXA C/4 - Brupet,PRD00134.jpg
petiscos-secos,Palito 6mmx5&quot; 1 kg - Ricosso,PRD00090.jpg
petiscos-secos,Palito 6mmx5&quot; 1 kg CAIXA c/10 Un. - Ricosso,PRD00106.jpg
petiscos-secos,Palito 6mmx5&quot; Natural CAIXA c/10Un. - Ricosso,PRD00104.jpg
